bucket_time_ms,open,high,low,close,ret_5s,ret_60s,ret_300s,ret_900s,rv_300s,range_pct,body_pct,upper_wick_pct,lower_wick_pct,price_ema_60s,price_ema_300s,price_ema_900s,price_trend_60_300,price_trend_300_900,delta_notional,total_notional,delta_vol,total_vol,flow_share,flow_share_ema_60s,flow_share_ema_300s,flow_share_ema_900s,flow_accel_60_300,flow_accel_300_900,flow_z_300s,flow_adv_900s,num_trades,trades_per_sec,notional_per_sec,vol_per_sec,avg_trade_notional,avg_trade_vol,buy_share_notional,sell_share_notional,is_warmed_up,gap_ms,data_gap
1768559790000,95423.34,95423.35,95423.34,95423.35,1.0479615752956306e-07,0.00013100377204722236,0.00010448722328249005,0.0,5.958918027097709e-05,1.0479615324040944e-05,0.9999999999,0.0,0.0,95420.6363651739,95415.7806087436,95421.94450984299,4.855756430290057,-6.163901099382201,-741.4393406,955.1876446,-0.007770000000000001,0.01001,-0.7762237553967616,-0.2877313987126642,-0.14867474456492355,-0.29058405246811136,-0.13905665414774063,0.14190930790318781,-0.0045723148429128975,0.0,8,1.6,191.03752892,0.002002,119.398455575,0.00125125,0.1118881223016187,0.8881118776983803,0,488,0
1768559795000,95423.35,95423.35,95423.34,95423.34,-1.0479615752956306e-07,0.0001308989758896928,-2.7246631479016514e-05,0.0,5.709711360089014e-05,1.0479616422264434e-05,0.9999999999,0.0,0.0,95421.0523089933,95416.02845763725,95421.95992962373,5.023851356047089,-5.931471986477845,-5755.935019899999,21956.911382899998,-0.06032000000000001,0.2301,-0.2621468438581353,-0.28379531335042896,-0.15239514126306164,-0.29026982916855365,-0.13140017208736732,0.137874687905492,-0.036459542540221296,0.0,82,16.4,4391.38227658,0.04602,267.7672119865853,0.0028060975609756097,0.3689265780709324,0.6310734219290677,0,860,0
1768559800000,95423.34,95423.35,95423.34,95423.34,0.0,4.17097431615332e-05,-2.7246631479016514e-05,0.0,5.709711360089014e-05,1.0479616422264434e-05,0.0,0.9999999999,0.0,95421.40426145587,95416.26818033766,95421.97517902016,5.136081118209404,-5.706998682493577,-7972.619316199998,22110.5428522,-0.08354999999999994,0.23170999999999997,-0.3605799898036751,-0.2956083404970822,-0.15922087400209814,-0.29104673702087547,-0.13638746649498404,0.13182586301877733,-0.050507808852015765,0.0,78,15.6,4422.10857044,0.046341999999999994,283.4684981051282,0.0029706410256410253,0.31971000509816244,0.6802899949018376,0,618,0
1768559805000,95423.34,95423.36,95423.34,95423.35,1.0479615752956306e-07,1.0479615752956306e-07,-2.7246628624411073e-05,0.0,5.709711360136375e-05,2.0959230632832043e-05,0.5000000003387979,0.4999999996112022,0.0,95421.70360584727,95416.50037114625,95421.99037041221,5.203234701024485,-5.489999265962979,379004.3711807,392052.5591175,3.971820000000001,4.108560000000001,0.9667182686776205,-0.10140424677789714,-0.12230483653718932,-0.2771487811568037,0.020900589759292182,0.15484394461961437,2.28207678770351,0.0,106,21.2,78410.5118235,0.8217120000000001,3698.6090482783015,0.03876,0.9833591343388103,0.016640865661189826,0,339,0
1768559810000,95423.35,95425.96,95423.35,95425.96,2.7351421916677054e-05,2.7456218074206618e-05,2.0958659519010325e-07,0.0,5.720987292735128e-05,0.002735104786999871,0.9999999999996169,0.0,0.0,95422.35843571692,95416.81052291194,95422.03423372257,5.547912804977386,-5.223710810634657,21533.198779099977,35930.98728669997,0.22566000000000014,0.37654000000000015,0.5992932675988727,0.006395370818529006,-0.09864588230322006,-0.26746433862911667,0.10504125312174907,0.1688184563258966,0.12961849575239656,0.0,249,49.8,7186.197457339995,0.07530800000000003,144.30115376184727,0.001512208835341366,0.7996466337994363,0.20035336620056374,0,161,0
1768559815000,95425.96,95425.96,95425.95,95425.95,-1.0479329226598111e-07,2.7351424781940636e-05,0.0,0.0,5.720987303579925e-05,1.0479329793743972e-05,0.9999999999,0.0,0.0,95422.91098406815,95417.11017789843,95422.07750185825,5.800806169718271,-4.967323959819623,-124.05361499999981,2414.276655,-0.001299999999999999,0.0253,-0.05138334695118019,-0.002493662684503177,-0.09709629098020237,-0.26507670336195716,0.09460262829569918,0.1679804123817548,-0.0007467415402284817,0.0,9,1.8,482.85533100000004,0.00506,268.2529616666667,0.002811111111111111,0.47430832652440974,0.5256916734755899,0,834,0
1768559820000,95425.95,95425.96,95415.95,95415.96,-0.00010469398476509184,-7.73425599831512e-05,-0.00010469398476509184,0.0,5.878477762316952e-05,0.01049090739118415,0.9980019980000394,0.000999000999930362,0.000999000999930362,95421.84160190383,95417.07246714766,95422.00990515265,4.769134756163112,-4.93743800498487,-66275.7604073,68264.33911209999,-0.694529999999999,0.715369999999999,-0.9708694359212289,-0.1514745508747687,-0.1257445908143344,-0.272875518086369,-0.025729960060434293,0.1471309272720346,-0.39865062277079955,0.0,275,55.0,13652.867822419998,0.14307399999999978,248.23396040763632,0.002601345454545451,0.014565282039385629,0.9854347179606144,0,1207,0
1768559825000,95415.96,95415.96,95407.72,95407.72,-8.636244731441423e-05,-0.000163809803455095,-0.00019116122537177205,0.0,5.978995054666188e-05,0.008636617665745746,0.9999999999998787,0.0,0.0,95419.66904776478,95416.76582888053,95421.85200564821,2.9032188842538744,-5.086176767683355,-16690.421414399992,16740.03343399999,-0.17492999999999997,0.17545,-0.997036324939517,-0.28156097765396076,-0.1543115329167994,-0.2808772949576745,-0.12724944473716138,0.1265657620408751,-0.10412291635781545,0.0,295,59.0,3348.006686799998,0.035089999999999996,56.74587604745759,0.0005947457627118644,0.0014818375302415787,0.9985181624697586,0,750,0
1768559830000,95407.72,95407.73,95398.7,95398.7,-9.454608504988471e-05,-0.00025825109234745014,-0.00028570731042165676,0.0,6.093939486930375e-05,0.009465537790346028,0.9988925802883984,0.0011074197114907523,0.0,95416.44304041636,95416.17350662214,95421.59618238137,0.2695337942132028,-5.422675759225967,1229.1426106000017,24230.8661966,0.012889999999999985,0.25399000000000005,0.050726317442686845,-0.2304398553313996,-0.14758898044599655,-0.27721316664385837,-0.08285087488540305,0.1296241861978618,0.007666957945981243,0.0,275,55.0,4846.17323932,0.05079800000000001,88.11224071490909,0.0009236000000000002,0.5253631587213434,0.47463684127865663,0,638,0
1768559835000,95398.7,95398.71,95398.7,95398.7,0.0,-0.00025825109234745014,-0.0002856025171293908,0.0,6.093953210501438e-05,1.048232314414476e-05,0.0,0.9999999999,0.0,95413.71334189076,95415.60060476567,95421.34318589096,-1.8872628749086289,-5.742581125290599,-16418.1162454,16887.477898600002,-0.17210000000000003,0.17702,-0.9722065274626407,-0.34455780489005206,-0.17462562133178816,-0.2848926512937897,-0.1699321835582639,0.11026702996200155,-0.10242290815070185,0.0,14,2.8,3377.4955797200005,0.035404000000000005,1206.2484213285716,0.012644285714285716,0.013896736268679615,0.9861032637313203,0,875,0
